2026-08-30 03:42:11 | Device: cuda
2026-08-30 03:42:11 | Args: {'model': 'fgib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 8.0, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_fgib/california_mlp_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results_ablation/hdirect_a48/california_mlp_fgib_beta_0.01_anchor_8/train.log', 'no_save': True, 'freeze_a': False, 'a_identity': True, 'cosine_classifier': False, 'log_variance_stats': False, 'subject_disjoint': False}
2026-08-30 03:42:11 | ===== Run 1/5 (seed 0) =====
2026-08-30 03:42:12 | Epoch   1/100 | Train Loss 0.3852 | Val Loss 0.3381 MAE 0.5545 R2 0.4711
2026-08-30 03:42:12 |   Val R2 improved to 0.4711, model saved
2026-08-30 03:42:13 | Epoch   2/100 | Train Loss 0.3300 | Val Loss 0.3147 MAE 0.4881 R2 0.6312
2026-08-30 03:42:13 |   Val R2 improved to 0.6312, model saved
2026-08-30 03:42:13 | Epoch   3/100 | Train Loss 0.3196 | Val Loss 0.3064 MAE 0.4551 R2 0.6850
2026-08-30 03:42:13 |   Val R2 improved to 0.6850, model saved
2026-08-30 03:42:13 | Epoch   4/100 | Train Loss 0.3152 | Val Loss 0.3034 MAE 0.4437 R2 0.6989
2026-08-30 03:42:13 |   Val R2 improved to 0.6989, model saved
2026-08-30 03:42:13 | Epoch   5/100 | Train Loss 0.3120 | Val Loss 0.2990 MAE 0.4286 R2 0.7263
2026-08-30 03:42:13 |   Val R2 improved to 0.7263, model saved
2026-08-30 03:42:13 | Epoch   6/100 | Train Loss 0.3093 | Val Loss 0.2972 MAE 0.4336 R2 0.7191
2026-08-30 03:42:13 | Epoch   7/100 | Train Loss 0.3071 | Val Loss 0.2962 MAE 0.4290 R2 0.7127
2026-08-30 03:42:14 | Epoch   8/100 | Train Loss 0.3052 | Val Loss 0.2934 MAE 0.4125 R2 0.7372
2026-08-30 03:42:14 |   Val R2 improved to 0.7372, model saved
2026-08-30 03:42:14 | Epoch   9/100 | Train Loss 0.3039 | Val Loss 0.2931 MAE 0.4204 R2 0.7294
2026-08-30 03:42:14 | Epoch  10/100 | Train Loss 0.3031 | Val Loss 0.2919 MAE 0.4092 R2 0.7394
2026-08-30 03:42:14 |   Val R2 improved to 0.7394, model saved
2026-08-30 03:42:14 | Epoch  11/100 | Train Loss 0.3021 | Val Loss 0.2903 MAE 0.4071 R2 0.7536
2026-08-30 03:42:14 |   Val R2 improved to 0.7536, model saved
2026-08-30 03:42:14 | Epoch  12/100 | Train Loss 0.3013 | Val Loss 0.2901 MAE 0.3989 R2 0.7528
2026-08-30 03:42:15 | Epoch  13/100 | Train Loss 0.3003 | Val Loss 0.2911 MAE 0.4123 R2 0.7267
2026-08-30 03:42:15 | Epoch  14/100 | Train Loss 0.2992 | Val Loss 0.2871 MAE 0.3971 R2 0.7591
2026-08-30 03:42:15 |   Val R2 improved to 0.7591, model saved
2026-08-30 03:42:15 | Epoch  15/100 | Train Loss 0.2980 | Val Loss 0.2871 MAE 0.3938 R2 0.7577
2026-08-30 03:42:15 | Epoch  16/100 | Train Loss 0.2972 | Val Loss 0.2870 MAE 0.3951 R2 0.7562
2026-08-30 03:42:15 | Epoch  17/100 | Train Loss 0.2967 | Val Loss 0.2861 MAE 0.3873 R2 0.7632
2026-08-30 03:42:15 |   Val R2 improved to 0.7632, model saved
2026-08-30 03:42:15 | Epoch  18/100 | Train Loss 0.2966 | Val Loss 0.2875 MAE 0.3986 R2 0.7440
2026-08-30 03:42:16 | Epoch  19/100 | Train Loss 0.2962 | Val Loss 0.2865 MAE 0.3933 R2 0.7500
2026-08-30 03:42:16 | Epoch  20/100 | Train Loss 0.2962 | Val Loss 0.2860 MAE 0.4004 R2 0.7507
2026-08-30 03:42:16 | Epoch  21/100 | Train Loss 0.2953 | Val Loss 0.2857 MAE 0.3889 R2 0.7557
2026-08-30 03:42:16 | Epoch  22/100 | Train Loss 0.2952 | Val Loss 0.2847 MAE 0.3830 R2 0.7698
2026-08-30 03:42:16 |   Val R2 improved to 0.7698, model saved
2026-08-30 03:42:16 | Epoch  23/100 | Train Loss 0.2945 | Val Loss 0.2846 MAE 0.3804 R2 0.7695
2026-08-30 03:42:16 | Epoch  24/100 | Train Loss 0.2944 | Val Loss 0.2843 MAE 0.3786 R2 0.7707
2026-08-30 03:42:16 |   Val R2 improved to 0.7707, model saved
2026-08-30 03:42:17 | Epoch  25/100 | Train Loss 0.2937 | Val Loss 0.2840 MAE 0.3864 R2 0.7628
