2026-08-30 03:43:18 | Device: cuda
2026-08-30 03:43:18 | Args: {'model': 'fgib', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 8.0, 'max_len': 250, 'random_labels': False, 'beta': 10.0, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_fgib/california_mlp_fgib.pt', 'log_path': '/root/autodl-tmp/FGIB/tune_results_ablation/hdirect_a48/california_mlp_fgib_beta_10_anchor_8/train.log', 'no_save': True, 'freeze_a': False, 'a_identity': True, 'cosine_classifier': False, 'log_variance_stats': False, 'subject_disjoint': False}
2026-08-30 03:43:18 | ===== Run 1/5 (seed 0) =====
2026-08-30 03:43:18 | Epoch   1/100 | Train Loss 298.5755 | Val Loss 275.8427 MAE 1.1141 R2 -0.5357
2026-08-30 03:43:18 |   Val R2 improved to -0.5357, model saved
2026-08-30 03:43:19 | Epoch   2/100 | Train Loss 281.8048 | Val Loss 270.2556 MAE 0.7535 R2 0.1851
2026-08-30 03:43:19 |   Val R2 improved to 0.1851, model saved
2026-08-30 03:43:19 | Epoch   3/100 | Train Loss 278.8237 | Val Loss 268.6991 MAE 0.6247 R2 0.4279
2026-08-30 03:43:19 |   Val R2 improved to 0.4279, model saved
2026-08-30 03:43:19 | Epoch   4/100 | Train Loss 277.5637 | Val Loss 267.2815 MAE 0.5602 R2 0.5319
2026-08-30 03:43:19 |   Val R2 improved to 0.5319, model saved
2026-08-30 03:43:19 | Epoch   5/100 | Train Loss 276.4429 | Val Loss 266.2901 MAE 0.5059 R2 0.6224
2026-08-30 03:43:19 |   Val R2 improved to 0.6224, model saved
2026-08-30 03:43:19 | Epoch   6/100 | Train Loss 275.5430 | Val Loss 265.6190 MAE 0.4876 R2 0.6525
2026-08-30 03:43:19 |   Val R2 improved to 0.6525, model saved
2026-08-30 03:43:19 | Epoch   7/100 | Train Loss 274.8509 | Val Loss 265.0432 MAE 0.4721 R2 0.6687
2026-08-30 03:43:19 |   Val R2 improved to 0.6687, model saved
2026-08-30 03:43:20 | Epoch   8/100 | Train Loss 274.1995 | Val Loss 264.4714 MAE 0.4504 R2 0.6978
2026-08-30 03:43:20 |   Val R2 improved to 0.6978, model saved
2026-08-30 03:43:20 | Epoch   9/100 | Train Loss 273.7563 | Val Loss 264.0166 MAE 0.4520 R2 0.7093
2026-08-30 03:43:20 |   Val R2 improved to 0.7093, model saved
2026-08-30 03:43:20 | Epoch  10/100 | Train Loss 273.2822 | Val Loss 263.9678 MAE 0.4403 R2 0.7106
2026-08-30 03:43:20 |   Val R2 improved to 0.7106, model saved
2026-08-30 03:43:20 | Epoch  11/100 | Train Loss 272.8529 | Val Loss 263.5754 MAE 0.4311 R2 0.7231
2026-08-30 03:43:20 |   Val R2 improved to 0.7231, model saved
2026-08-30 03:43:20 | Epoch  12/100 | Train Loss 272.3985 | Val Loss 263.0860 MAE 0.4360 R2 0.7225
2026-08-30 03:43:20 | Epoch  13/100 | Train Loss 272.0709 | Val Loss 262.5223 MAE 0.4303 R2 0.7125
2026-08-30 03:43:21 | Epoch  14/100 | Train Loss 271.7454 | Val Loss 262.3721 MAE 0.4191 R2 0.7377
2026-08-30 03:43:21 |   Val R2 improved to 0.7377, model saved
2026-08-30 03:43:21 | Epoch  15/100 | Train Loss 271.4147 | Val Loss 262.0735 MAE 0.4211 R2 0.7394
2026-08-30 03:43:21 |   Val R2 improved to 0.7394, model saved
2026-08-30 03:43:21 | Epoch  16/100 | Train Loss 271.2221 | Val Loss 262.1742 MAE 0.4175 R2 0.7415
2026-08-30 03:43:21 |   Val R2 improved to 0.7415, model saved
2026-08-30 03:43:21 | Epoch  17/100 | Train Loss 270.8881 | Val Loss 261.6730 MAE 0.4133 R2 0.7429
2026-08-30 03:43:21 |   Val R2 improved to 0.7429, model saved
2026-08-30 03:43:21 | Epoch  18/100 | Train Loss 270.7448 | Val Loss 261.6679 MAE 0.4183 R2 0.7418
2026-08-30 03:43:21 | Epoch  19/100 | Train Loss 270.4172 | Val Loss 261.2348 MAE 0.4128 R2 0.7449
2026-08-30 03:43:21 |   Val R2 improved to 0.7449, model saved
2026-08-30 03:43:22 | Epoch  20/100 | Train Loss 270.2833 | Val Loss 261.0121 MAE 0.4227 R2 0.7387
2026-08-30 03:43:22 | Epoch  21/100 | Train Loss 270.0343 | Val Loss 260.6862 MAE 0.4144 R2 0.7401
2026-08-30 03:43:22 | Epoch  22/100 | Train Loss 269.8394 | Val Loss 260.6625 MAE 0.4057 R2 0.7455
2026-08-30 03:43:22 |   Val R2 improved to 0.7455, model saved
2026-08-30 03:43:22 | Epoch  23/100 | Train Loss 269.6374 | Val Loss 260.4753 MAE 0.4065 R2 0.7486
2026-08-30 03:43:22 |   Val R2 improved to 0.7486, model saved
2026-08-30 03:43:22 | Epoch  24/100 | Train Loss 269.5540 | Val Loss 260.5332 MAE 0.4033 R2 0.7497
2026-08-30 03:43:22 |   Val R2 improved to 0.7497, model saved
2026-08-30 03:43:22 | Epoch  25/100 | Train Loss 269.5202 | Val Loss 260.3063 MAE 0.4033 R2 0.7544
2026-08-30 03:43:22 |   Val R2 improved to 0.7544, model saved
2026-08-30 03:43:23 | Epoch  26/100 | Train Loss 269.3680 | Val Loss 260.4496 MAE 0.4182 R2 0.7466
